Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768335505,77.27,77.27,77.27,77.27,0.74600000,13/01/2026 21:18:25
1768335506,77.28,77.28,77.28,77.28,0.23000000,13/01/2026 21:18:26
1768335507,77.28,77.28,77.28,77.28,0.00000000,13/01/2026 21:18:27
1768335508,77.28,77.30,77.28,77.29,64.50900000,13/01/2026 21:18:28
1768335509,77.30,77.33,77.30,77.33,28.60300000,13/01/2026 21:18:29
1768335510,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:30
1768335511,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:31
1768335512,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:32
1768335513,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:33
1768335514,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:34
1768335515,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:35
1768335516,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:36
1768335517,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:37
1768335518,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:38
1768335519,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:39
1768335520,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:18:40
1768335521,77.32,77.32,77.29,77.29,63.35700000,13/01/2026 21:18:41
1768335522,77.30,77.30,77.30,77.30,4.94400000,13/01/2026 21:18:42
1768335523,77.30,77.30,77.30,77.30,0.00000000,13/01/2026 21:18:43
1768335524,77.30,77.30,77.30,77.30,0.00000000,13/01/2026 21:18:44
1768335525,77.30,77.30,77.30,77.30,0.00000000,13/01/2026 21:18:45
1768335526,77.29,77.29,77.28,77.28,4.28900000,13/01/2026 21:18:46
1768335527,77.27,77.27,77.26,77.26,4.00600000,13/01/2026 21:18:47
